index,genres,id,keywords,original_language,original_title,popularity,tagline,title,vote_average,vote_count,cast,director
631,Animation Comedy Family Adventure,425,human evolution parents kids relationship squirrel ice loss of child,en,Ice Age,99.561972,They came. They thawed. They conquered.,Ice Age,7.1,3857,Ray Romano John Leguizamo Denis Leary Goran Visnjic Jack Black,Chris Wedge
632,Drama Horror Science Fiction Thriller,6171,religion and supernatural,en,Dreamcatcher,26.792794,A circle of friendship. A web of mystery. A pattern of fear.,Dreamcatcher,5.3,567,Morgan Freeman Thomas Jane Jason Lee Damian Lewis Timothy Olyphant,Lawrence Kasdan
633,History Drama,72976,usa president speech battlefield family conflict mourning,en,Lincoln,36.307296,"With the moral courage and fierce determination to succeed, his choices will change the fate of generations to come.",Lincoln,6.7,1429,Daniel Day-Lewis Sally Field David Strathairn Joseph Gordon-Levitt James Spader,Steven Spielberg
634,Action Science Fiction,603,saving the world artificial intelligence man vs machine philosophy prophecy,en,The Matrix,104.309993,Welcome to the Real World.,The Matrix,7.9,8907,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Gloria Foster,Lilly Wachowski
635,Drama,568,moon florida nasa spaceman race against time,en,Apollo 13,68.140214,"Houston, we have a problem.",Apollo 13,7.3,1599,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise Ed Harris,Ron Howard
636,Fantasy Comedy Family,9021,holiday christmas party home santa claus magic,en,The Santa Clause 2,14.646884,What's Christmas Fun without some Reindeer Games?,The Santa Clause 2,5.5,297,Tim Allen Elizabeth Mitchell David Krumholtz Eric Lloyd Spencer Breslin,Michael Lembeck
637,Drama Music Romance,82695,france robbery brothel mayor star,en,Les Misérables,48.356214,Fight. Dream. Hope. Love.,Les Misérables,7.1,1884,Hugh Jackman Russell Crowe Anne Hathaway Amanda Seyfried Sacha Baron Cohen,Tom Hooper
638,Comedy Romance,9489,romantic comedy online dating woman director,en,You've Got Mail,28.540267,Someone you pass on the street may already be the love of your life.,You've Got Mail,6.3,838,Tom Hanks Meg Ryan Katie Sagona Greg Kinnear Parker Posey,Nora Ephron
639,Comedy,12133,becoming an adult autonomy childhood trauma hostility step brother,en,Step Brothers,22.977983,They grow up so fast.,Step Brothers,6.5,1062,Will Ferrell John C. Reilly Mary Steenburgen Richard Jenkins Adam Scott,Adam McKay
640,Action Adventure,9342,california spy hero horseback riding sword fight,en,The Mask of Zorro,31.086791,No one has seen his face... but everyone ... knows this mark.,The Mask of Zorro,6.3,1183,Antonio Banderas Anthony Hopkins Catherine Zeta-Jones Stuart Wilson Diego Sieres,Martin Campbell
641,Comedy Drama,41733,highway slacker hitchhiker wallet sunglasses,en,Due Date,43.865294,Leave Your Comfort Zone,Due Date,6.2,1685,Robert Downey Jr. Zach Galifianakis Michelle Monaghan Jamie Foxx Juliette Lewis,Todd Phillips
642,Drama War,227306,world war ii prisoners of war biography sport war,en,Unbroken,43.055253,Survival. Resilience. Redemption.,Unbroken,7.3,1400,Jack O'Connell Domhnall Gleeson Garrett Hedlund Miyavi Finn Wittrock,Angelina Jolie
643,Action Adventure Thriller,5551,nasa space travel astronaut elderly,en,Space Cowboys,15.772081,Space will never be the same.,Space Cowboys,6.3,403,Clint Eastwood Tommy Lee Jones Donald Sutherland James Garner James Cromwell,Clint Eastwood
644,Action Adventure Thriller,9350,rocky mountains airplane hijacking suitcase climbing,en,Cliffhanger,26.19909,The height of adventure.,Cliffhanger,6.1,588,Sylvester Stallone John Lithgow Michael Rooker Janine Turner Rex Linn,Renny Harlin
645,Action Adventure Drama Thriller,9208,helicopter river captain underground mexican standoff,en,Broken Arrow,22.769108,Prepare to Go Ballistic.,Broken Arrow,5.7,453,John Travolta Christian Slater Samantha Mathis Delroy Lindo Bob Gunton,John Woo
646,Fantasy Comedy Family,4244,age difference midlife crisis suppressed past self-awareness childhood memory,en,The Kid,18.281798,Nobody ever grows up quite like they imagined.,The Kid,6,238,Bruce Willis Spencer Breslin Emily Mortimer Lily Tomlin Chi McBride,Jon Turteltaub
647,Drama History Thriller,1852,terror runaway alarm clock hero firemen,en,World Trade Center,24.697533,The world saw evil that day. Two men saw something else.,World Trade Center,5.9,447,Nicolas Cage Maria Bello Maggie Gyllenhaal Michael Pe\u00f1a Jay Hernandez,Oliver Stone
648,Drama Romance,11820,faculty art history rowing school nurse femininity,en,Mona Lisa Smile,19.718544,"In a world that told them how to think, she showed them how to live.",Mona Lisa Smile,6.5,393,Julia Roberts Kirsten Dunst Julia Stiles Maggie Gyllenhaal Ginnifer Goodwin,Mike Newell
649,Comedy,76493,kurdish,en,The Dictator,31.349143,kurd,The Dictator,5.9,1743,Sacha Baron Cohen Sayed Badreya Aasif Mandvi Megan Fox Anna Faris,Larry Charles
650,Mystery Drama,345,life and death sexual obsession free love heterosexual christmas party,en,Eyes Wide Shut,27.870312,Cruise. Kidman. Kubrick.,Eyes Wide Shut,7.1,1234,Tom Cruise Nicole Kidman Madison Eginton Jackie Sawiris Sydney Pollack,Stanley Kubrick
651,Comedy Drama Family,196867,musical orphan foster child,en,Annie,33.439187,It's a Hard Knock Life,Annie,6,466,Quvenzhan\u00e9 Wallis Jamie Foxx Rose Byrne Cameron Diaz Bobby Cannavale,Will Gluck
652,Romance Comedy Crime Drama,256591,seduction con man femme fatale deception rivalry,en,Focus,59.634029,Never Drop The Con.,Focus,6.7,2542,Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney,Glenn Ficarra
653,Action Comedy Romance,59962,love triangle friendship dating sushi bar exploding airplane,en,This Means War,38.994297,It's SPY Against SPY,This Means War,5.9,1389,Reese Witherspoon Chris Pine Tom Hardy Laura Vandervoort Angela Bassett,McG
654,Science Fiction Action Horror Thriller Adventure,36648,fbi dracula fistfight vampire hunter superhero,en,Blade: Trinity,49.660055,The final hunt begins.,Blade: Trinity,5.7,1252,Wesley Snipes Kris Kristofferson Dominic Purcell Jessica Biel Ryan Reynolds,David S. Goyer
656,Comedy Drama,9440,white house usa president presidential election scandal george w. bush,en,Primary Colors,9.110247,What went down on the way to the top.,Primary Colors,6.1,94,John Travolta Emma Thompson Billy Bob Thornton Kathy Bates Adrian Lester,Mike Nichols
657,Action Horror Science Fiction,71679,mutant dystopia sequel conspiracy tokyo japan,en,Resident Evil: Retribution,6.227675,The Ultimate Battle Begins,Resident Evil: Retribution,5.6,1600,Milla Jovovich Sienna Guillory Michelle Rodriguez Aryana Engineer Li Bingbing,Paul W.S. Anderson
658,Action Thriller Science Fiction,10483,car race dystopia matter of life and death prison guard car set on fire,en,Death Race,42.57877,Get ready for a killer race.,Death Race,6,1175,Jason Statham Joan Allen Ian McShane Tyrese Gibson Natalie Martinez,Paul W.S. Anderson
659,Crime Action Mystery Thriller,11412,assassination amnesia hostage chase dark comedy,en,The Long Kiss Goodnight,15.858629,What's forgotten is not always gone.,The Long Kiss Goodnight,6.5,314,Geena Davis Samuel L. Jackson Yvonne Zima Craig Bierko Tom Amandes,Renny Harlin
661,Family Fantasy Science Fiction Adventure,6795,adventure house alien giant robot outer space,en,Zathura: A Space Adventure,15.194239,Adventure Is Waiting,Zathura: A Space Adventure,6.1,779,Jonah Bobo Josh Hutcherson Dax Shepard Kristen Stewart Tim Robbins,Jon Favreau
662,Drama,550,support group dual identity nihilism rage and hate insomnia,en,Fight Club,146.757391,Mischief. Mayhem. Soap.,Fight Club,8.3,9413,Edward Norton Brad Pitt Meat Loaf Jared Leto Helena Bonham Carter,David Fincher
663,Drama,11170,american football 1970s trainer college sport,en,We Are Marshall,8.629665,From the ashes we rose.,We Are Marshall,6.7,186,Matthew McConaughey Matthew Fox Anthony Mackie David Strathairn Ian McShane,McG
664,Action Adventure Comedy,9292,vatican leonardo da vinci painting master thief,en,Hudson Hawk,16.803457,Danger is his middle name.,Hudson Hawk,5.4,269,Bruce Willis Danny Aiello Andie MacDowell James Coburn Richard E. Grant,Michael Lehmann
665,Action Adventure Comedy Crime Romance,10783,weather forecast tv station weather lottery wettermann,en,Lucky Numbers,2.952595,When they put their heads together... it's a no brainer.,Lucky Numbers,4.9,52,John Travolta Lisa Kudrow Tim Roth Ed O'Neill Michael Rapaport,Nora Ephron
666,Horror Thriller,100241,soul queen anti hero fantasy prince,en,"I, Frankenstein",31.324734,"In the battle between good and evil, an immortal holds the key","I, Frankenstein",5,687,Aaron Eckhart Yvonne Strahovski Bill Nighy Jai Courtney Miranda Otto,Stuart Beattie
668,Action Fantasy,9947,martial arts based on comic book female assassin spin off,en,Elektra,28.613892,Looks can kill,Elektra,4.8,575,Jennifer Garner Goran Visnjic Will Yun Lee Cary-Hiroyuki Tagawa Terence Stamp,Rob Bowman
669,Crime Thriller,189,detective dystopia dominatrix murder suspense,en,Sin City: A Dame to Kill For,85.428395,There is no justice without sin.,Sin City: A Dame to Kill For,6.3,1286,Mickey Rourke Jessica Alba Josh Brolin Joseph Gordon-Levitt Rosario Dawson,Robert Rodriguez
670,Drama Romance,12618,infidelity politician airplane crash death death of husband,en,Random Hearts,4.137237,In a perfect world...they never would have met.,Random Hearts,5.3,63,Harrison Ford Kristin Scott Thomas Charles S. Dutton Bonnie Hunt Dennis Haysbert,Sydney Pollack
671,Adventure Drama,253412,mountains snow storm hiking climbing snow,en,Everest,60.246978,The Storm Awaits.,Everest,6.7,1772,Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington,Baltasar Korm\u00e1kur
672,Crime Fantasy Drama,1427,paris female nudity prostitute small town obsession,en,Perfume: The Story of a Murderer,42.551902,Based on the best-selling novel,Perfume: The Story of a Murderer,7.1,1165,Ben Whishaw Simon Chandler David Calder Richard Felix Birgit Minichmayr,Tom Tykwer
673,Comedy Crime Science Fiction,818,saving the world submarine brother brother relationship clone spy,en,Austin Powers in Goldmember,40.137264,He's still evil... He's still deadly... and he's still surrounded by frickin' idiots!,Austin Powers in Goldmember,5.9,979,Mike Myers Beyonc\u00e9 Knowles Seth Green Michael York Mindy Sterling,Jay Roach
674,Animation Action Family Science Fiction,16577,superhero,en,Astro Boy,24.857079,Have a blast.,Astro Boy,6.1,409,Nicolas Cage Kristen Bell Bill Nighy Donald Sutherland Freddie Highmore,David Bowers
675,Adventure Science Fiction,329,exotic island dna paleontology tyrannosaurus rex triceratops,en,Jurassic Park,40.413191,An adventure 65 million years in the making.,Jurassic Park,7.6,4856,Sam Neill Laura Dern Jeff Goldblum Richard Attenborough Bob Peck,Steven Spielberg
676,Drama Action Western,12160,gunslinger gambling sheriff deputy sheriff wretch,en,Wyatt Earp,13.859307,The epic story of love and adventure in a lawless land.,Wyatt Earp,6.5,202,Kevin Costner Dennis Quaid Gene Hackman David Andrews Linden Ashby,Lawrence Kasdan
677,Action Drama Thriller,9331,assassination spy ambush cia helicopter,en,Clear and Present Danger,18.832471,The war of drugs would lead him to the war of power.,Clear and Present Danger,6.4,386,Harrison Ford Willem Dafoe Anne Archer Joaquim de Almeida Henry Czerny,Phillip Noyce
679,Comedy Crime,9072,baby adoption married couple small person criminal,en,Little Man,12.421504,Big things come in small packages,Little Man,5.3,261,Marlon Wayans Shawn Wayans Kerry Washington John Witherspoon Tracy Morgan,Keenen Ivory Wayans
680,Action Drama Thriller War,3536,submarine world war ii north atlantic mission,en,U-571,18.096884,Heroes are ordinary men who do extraordinary things in extraordinary times.,U-571,6.1,340,Matthew McConaughey Bill Paxton Harvey Keitel Jon Bon Jovi David Keith,Jonathan Mostow
681,Comedy Drama Romance,9087,white house usa president new love widower wildlife conservation,en,The American President,11.056763,Why can't the most powerful man in the world have the one thing he wants most?,The American President,6.5,195,Michael Douglas Annette Bening Michael J. Fox Martin Sheen Anna Deavere Smith,Rob Reiner
682,Comedy Romance,12177,sport ice hockey guru comedy bollywood,en,The Love Guru,13.218008,His Karma is Huge,The Love Guru,4.3,242,Mike Myers Jessica Alba Justin Timberlake Romany Malco Meagan Good,Marco Schnabel
683,Action Adventure Comedy Thriller Crime,12138,casino submachine gun hold-up robbery elvis reference to elvis presley,en,3000 Miles to Graceland,11.262655,Crime Is King.,3000 Miles to Graceland,5.8,178,Kurt Russell Kevin Costner Courteney Cox Christian Slater Kevin Pollak,Demian Lichtenstein
684,Crime Drama Mystery Western,273248,bounty hunter wyoming mountains narration hangman,en,The Hateful Eight,68.717016,No one comes up here without a damn good reason.,The Hateful Eight,7.6,4274,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins Demi\u00e1n Bichir,Quentin Tarantino
685,Action Comedy Drama,9955,competition olympic games sport rivalry ice skating,en,Blades of Glory,19.412028,Kick Some Ice.,Blades of Glory,5.9,569,Will Ferrell Jon Heder Will Arnett Amy Poehler Jenna Fischer,Josh Gordon
686,Animation Comedy Family,50359,coup d'etat slacker easter easter bunny aftercreditsstinger,en,Hop,16.791058,"Candy, chicks and rock 'n' roll.",Hop,5.5,331,Russell Brand James Marsden Kaley Cuoco Hank Azaria Elizabeth Perkins,Tim Hill
687,Action Adventure War,1271,evisceration javelin shield army fall from height,en,300,65.197968,"Spartans, prepare for glory!",300,7,4997,Gerard Butler Lena Headey Dominic West David Wenham Vincent Regan,Zack Snyder
688,Comedy Romance,693,cia parents kids relationship florida anti-authoritarian upbringing jew,en,Meet the Fockers,32.829538,Misery loves family.,Meet the Fockers,6.1,1373,Ben Stiller Teri Polo Robert De Niro Dustin Hoffman Barbra Streisand,Jay Roach
689,Comedy Family,14306,journalist based on novel puppy dog duringcreditsstinger,en,Marley & Me,30.951203,Heel the love.,Marley & Me,6.9,1343,Owen Wilson Jennifer Aniston Eric Dane Kathleen Turner Alan Arkin,David Frankel
690,Fantasy Drama Crime,497,southern usa black people mentally disabled based on novel heal,en,The Green Mile,103.698022,Miracles do happen.,The Green Mile,8.2,4048,Tom Hanks Michael Clarke Duncan David Morse Bonnie Hunt James Cromwell,Frank Darabont
691,Action Adventure Comedy,11199,midlife crisis road trip politically incorrect motorcycle gang biker film,en,Wild Hogs,31.719463,A lot can happen on the road to nowhere.,Wild Hogs,5.6,648,Tim Allen John Travolta Martin Lawrence William H. Macy Ray Liotta,Walt Becker
692,Animation Family Comedy,9982,fish small town space marine chicken alien,en,Chicken Little,47.973995,"When it comes to saving the world, it helps to be a little chicken.",Chicken Little,5.6,944,Zach Braff Joan Cusack Dan Molina Steve Zahn Garry Marshall,Mark Dindal
693,Mystery Thriller Drama,210577,based on novel marriage crisis disappearance cheating husband missing person,en,Gone Girl,143.041543,You don't know what you've got 'til it's...,Gone Girl,7.9,5862,Ben Affleck Rosamund Pike Carrie Coon Neil Patrick Harris Tyler Perry,David Fincher
694,Action Drama Mystery Thriller,2501,paris barcelona spain assassin based on novel secret identity,en,The Bourne Identity,86.476817,He was the perfect weapon until he became the target.,The Bourne Identity,7.3,3583,Matt Damon Franka Potente Chris Cooper Clive Owen Brian Cox,Doug Liman
695,Adventure Action Thriller,710,cuba falsely accused secret identity computer virus secret base,en,GoldenEye,59.824565,No limits. No fears. No substitutes.,GoldenEye,6.6,1174,Pierce Brosnan Sean Bean Izabella Scorupco Famke Janssen Joe Don Baker,Martin Campbell
696,Crime Drama Mystery Thriller,2275,suicide detective based on novel bondage general,en,The General's Daughter,18.345613,Go behind the lies.,The General's Daughter,6.1,205,John Travolta Madeleine Stowe James Cromwell Timothy Hutton Leslie Stefanson,Simon West
697,Comedy Drama,37165,claustrophobia hidden camera dystopia reality show make believe,en,The Truman Show,56.488027,On the air. Unaware.,The Truman Show,7.8,4537,Jim Carrey Laura Linney Noah Emmerich Natascha McElhone Ed Harris,Peter Weir
